,Unnamed: 0,room,token_id,rule_name,rule_description,prior_feedback,bound_vars,prior_resp,prior_resp_bonan,posterior_feedback,bound_vars_post,post_resp,post_resp_bonan,bn_check
52,84,fMxwrGzBgz,J2g8DxowwOB-gkR8AAAM,Upsilon,none are upright,No cones can be upright in this arrangement.,[['x1']],"Z.forall(lambda x1: Z.not_operator(Z.equal(x1,'upright','orientation')),X)",bonan's rule,No cones can be upright in this arrangement.,[['x1']],"Z.forall(lambda x1: Z.not_operator(Z.equal(x1,'upright','orientation')),X)",bonan's rule,0
53,86,fMxwrGzBgz,d9VaYpby-V6K-PGgAAAN,Iota,one is blue,"The size of the cones don't matter as long as all the colors, blue, green and red are present. But the green cone can't be on top of the blue cone to emit radiation.","[['x1'],['x1','x2'],['x1','x2','x3']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.exists(lambda x3: Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x2,'blue','colour')),Z.equal(x3,'green','colour')),X),X),X)",bonan's rule,All colors must be present. The size of the cones doesn't make a difference. The positioning only makes a difference in the placement of the green cone.,"[['x1'],['x1','x2'],['x1','x2','x3']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.exists(lambda x3: Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x2,'blue','colour')),Z.equal(x3,'green','colour')),X),X),X)",bonan's rule,0
54,87,fMxwrGzBgz,d9VaYpby-V6K-PGgAAAN,Zeta,there is a red,All color combinations work except for blue and green.  You always have to have a red cone present to emit radiation. It doesn't matter the size or position.,[['x1']],"Z.exists(lambda x1: Z.equal(x1,'red','colour'),X)",bonan's rule,I can't think of any other rules than what I wrote previously. ,[['x1']],"Z.exists(lambda x1: Z.equal(x1,'red','colour'),X)",bonan's rule,0
55,89,fMxwrGzBgz,d9VaYpby-V6K-PGgAAAN,Upsilon,none are upright,I think the rule is that only red and blue cones can be present to emit radiation. The blue cone has to be small.,"[['x1'],['x1','x2'],['x1','x2','x3']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.forall(lambda x3: Z.and_operator(Z.and_operator(Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),Z.equal(x2,'green','colour')),Z.not_operator(Z.equal(x3,'red','colour'))),X),X),X)",bonan's rule,I can't think of any more to the rule than I previously wrote. The color combination must be blue and green.,"[['x1'],['x1','x2'],['x1','x2','x3']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.forall(lambda x3: Z.and_operator(Z.and_operator(Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),Z.equal(x2,'green','colour')),Z.not_operator(Z.equal(x3,'red','colour'))),X),X),X)",bonan's rule,0
56,90,Ps0SdvfhCU,UoeEYonMQNivhGsyAAAG,Upsilon,none are upright,Any cone that is on its side. Can have multiple or stacked cones as long as they are all on the side. ,[['x1']],"Z.forall(lambda x1: Z.not_operator(Z.equal(x1,'upright','orientation')),X)",bonan's rule,Any cone or cones on their side. There cannot be any cones standing up. ,[['x1']],"Z.forall(lambda x1: Z.not_operator(Z.equal(x1,'upright','orientation')),X)",bonan's rule,1
57,91,Ps0SdvfhCU,UoeEYonMQNivhGsyAAAG,Iota,one is blue,There must be at least one cone upright and one cone on its side.,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.atleast(lambda x2: Z.and_operator(Z.equal(x1,'upright','orientation'),Z.or_operator(Z.equal(x2,'lhs','orientation'),Z.equal(x2,'rhs','orientation'))),1,X),1,X)",bonan's rule,There must be at least one cone upright and one cone on it's side.,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.atleast(lambda x2: Z.and_operator(Z.equal(x1,'upright','orientation'),Z.or_operator(Z.equal(x2,'lhs','orientation'),Z.equal(x2,'rhs','orientation'))),1,X),1,X)",bonan's rule,1
58,92,Ps0SdvfhCU,UoeEYonMQNivhGsyAAAG,Kappa,at least one is blue AND small,There must be at least one blue cone present.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'blue','colour'),1,X)",bonan's rule,Any blue cone except the largest one must be present.,[['x1']],"Z.exists(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.not_operator(Z.equal(x1,3,'size'))),X)",bonan's rule,0
59,94,Ps0SdvfhCU,UoeEYonMQNivhGsyAAAG,Zeta,there is a red,There must be at least one red cone present.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),1,X)",bonan's rule,There must be at least one red cone present. ,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),1,X)",bonan's rule,0
60,95,Ps0SdvfhCU,bvS2n6FpsWwYieCFAAAF,Upsilon,none are upright,At least 2 cones are not upright,[['x1']],"Z.atleast(lambda x1: Z.not_operator(Z.equal(x1,'upright','orientation')),2,X)",bonan's rule,There is at least one sideways cone not touching another color,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.not_operator(Z.equal(x1,'upright','orientation')),Z.not_operator(Z.hor_operator(x1,x2,'contact'))),X),1,X)",bonan's rule,1
61,97,Ps0SdvfhCU,bvS2n6FpsWwYieCFAAAF,Kappa,at least one is blue AND small,there is at least one small cone that is upright,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,1,'size'),Z.equal(x1,'upright','orientation')),1,X)",bonan's rule,there is at least one small blue cone,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,1,'size'),Z.equal(x1,'blue','colour')),1,X)",bonan's rule,0
62,98,Ps0SdvfhCU,bvS2n6FpsWwYieCFAAAF,Omega,all are blue OR small,There is exactly one blue cone larger than all of the other cones,"[['x1'],['x1','x2']]","Z.exactly(lambda x1: Z.forall(lambda x2: Z.and_operator(Z.equal(x1,'blue','colour'),Z.greater(x1,x2,'size')),X),1,X)",bonan's rule,There is exactly one upright blue cone,[['x1']],"Z.exactly(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,'upright','orientation')),1,X)",bonan's rule,0
63,99,Ps0SdvfhCU,bvS2n6FpsWwYieCFAAAF,Zeta,there is a red,There is at least one red cone,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),1,X)",bonan's rule,There is at least one red cone,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),1,X)",bonan's rule,0
64,107,PKL94C0J8G,2PSNytKkwqU4wHbjAAAN,Iota,one is blue,There must be atleast one cone will be incline with another,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.atleast(lambda x2: Z.hor_operator(x1,x2,'contact'),1,X),1,X)",bonan's rule,There is exactly one is incline with another,"[['x1'],['x1','x2']]","Z.exactly(lambda x1: Z.exists(lambda x2: Z.hor_operator(x1,x2,'contact'),X),1,X)",bonan's rule,1
65,108,PKL94C0J8G,2PSNytKkwqU4wHbjAAAN,Omega,all are blue OR small,There must be one Large blue cone is needed,[['x1']],"Z.exists(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,3,'size')),X)",bonan's rule,There must be atleast needed one blue cone,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'blue','colour'),1,X)",bonan's rule,0
66,115,OFO4BbvtZU,Ea3CVUwVovU8FL6dAAAV,Zeta,there is a red,There must be at least one red triangle on the scene to emit radiation. ,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),1,X)",bonan's rule,There must be at least one red triangle on the scene in order to emit radiation. ,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),1,X)",bonan's rule,1
67,116,OFO4BbvtZU,Ea3CVUwVovU8FL6dAAAV,Omega,all are blue OR small,There needs to be at least one small green triangle in order to emit radiation. ,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x1,1,'size')),1,X)",bonan's rule,There needs to be at least one small green triangle in order to emit radiation. ,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x1,1,'size')),1,X)",bonan's rule,0
68,117,OFO4BbvtZU,Ea3CVUwVovU8FL6dAAAV,Iota,one is blue,There must be at least one green or blue triangle on the stage in an upright position. ,[['x1']],"Z.atleast(lambda x1: Z.or_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,'green','colour')),1,X)",bonan's rule,There needs to be at least one green or red triangle in an upright position. ,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.or_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,'red','colour')),Z.equal(x1,'upright','orientation')),1,X)",bonan's rule,0
69,118,OFO4BbvtZU,Ea3CVUwVovU8FL6dAAAV,Kappa,at least one is blue AND small,There must be at least two blue triangles of two different shapes on the scene. ,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.equal(x1,'blue','colour'),Z.not_operator(Z.equal(x1,x2,'size'))),X),2,X)",bonan's rule,There must be at least two blue triangles of two different sizes. ,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.equal(x1,'blue','colour'),Z.not_operator(Z.equal(x1,x2,'size'))),X),2,X)",bonan's rule,0
70,119,OFO4BbvtZU,Ea3CVUwVovU8FL6dAAAV,Upsilon,none are upright,There needs to be at least two red triangles that their planes are facing different directions.,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.equal(x1,'red','colour'),Z.not_operator(Z.equal(x1,x2,'orientation'))),X),2,X)",bonan's rule,There needs to be at least two red triangles facing in the same direction on the scene.,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x1,x2,'orientation')),X),2,X)",bonan's rule,0
71,121,HsWUa1IiOe,mbxlKAX3Apq5f1McAAAD,Upsilon,none are upright,it seems to be a combination of red and purple cones either configured same colors together or combined with each other.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x2,'blue','colour')),X),X)",bonan's rule,colors of red and purple combinations without regard to size with cones touching,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x2,'blue','colour')),X),X)",bonan's rule,0
72,123,HsWUa1IiOe,mbxlKAX3Apq5f1McAAAD,Zeta,there is a red,it is obvious that the red and green in almost any combination works but a red cone and a green cone must be touching in one of the combinations,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x2,'green','colour')),Z.hor_operator(x1,x2,'contact')),X),X)",bonan's rule,at least one red and green cone must be touching.  size of the cone does not matter.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x2,'green','colour')),Z.hor_operator(x1,x2,'contact')),X),X)",bonan's rule,0
73,125,HsWUa1IiOe,plYxmbQkBrz0OYG7AAAC,Kappa,at least one is blue AND small,There must be at least two big and two small cones in order to emit radiation. The orientation does not matter. ,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.atleast(lambda x2: Z.and_operator(Z.equal(x1,1,'size'),Z.equal(x2,3,'size')),2,X),2,X)",bonan's rule,There must be at least two big and two small cones in order to emit radiation. Orientation does not matter. ,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.atleast(lambda x2: Z.and_operator(Z.equal(x1,1,'size'),Z.equal(x2,3,'size')),2,X),2,X)",bonan's rule,0
74,126,HsWUa1IiOe,plYxmbQkBrz0OYG7AAAC,Upsilon,none are upright,At least two cones need to be lying sideways and touching each other. The size and arrangement does not matter. ,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.not_operator(Z.equal(x1,'upright','orientation')),Z.not_operator(Z.equal(x2,'upright','orientation'))),Z.hor_operator(x1,x2,'contact')),X),X)",bonan's rule,At least two cones need to be lying sideways and touching each other and there cannot be any vertical cones. The size does not matter. ,"[['x1'],['x1','x2'],['x1','x2','x3']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.forall(lambda x3: Z.and_operator(Z.and_operator(Z.and_operator(Z.not_operator(Z.equal(x1,'upright','orientation')),Z.not_operator(Z.equal(x2,'upright','orientation'))),Z.hor_operator(x1,x2,'contact')),Z.not_operator(Z.equal(x3,'upright','orientation'))),X),X),X)",bonan's rule,0
75,127,HsWUa1IiOe,plYxmbQkBrz0OYG7AAAC,Omega,all are blue OR small,There needs to be at least one blue cone and two small cones to emit radiation. ,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.atleast(lambda x2: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x2,2,'size')),1,X),2,X)",bonan's rule,There needs to be at least one blue cone and two other cones to emit radiation. ,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.atleast(lambda x2: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x2,2,'size')),1,X),2,X)",bonan's rule,0
76,128,HsWUa1IiOe,plYxmbQkBrz0OYG7AAAC,Zeta,there is a red,There must be a red cone to emit radiation. ,[['x1']],"Z.exists(lambda x1: Z.equal(x1,'red','colour'),X)",bonan's rule,There needs to be at least one red cone to emit radiation. ,[['x1']],"Z.exists(lambda x1: Z.equal(x1,'red','colour'),X)",bonan's rule,0
77,129,HsWUa1IiOe,plYxmbQkBrz0OYG7AAAC,Iota,one is blue,There must be at least one green cone and a minimum of three cones to emit radiation. ,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'green','colour'),3,X)",bonan's rule,There must be at least one green cone and a minimum of three cones to emit radiation. ,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'green','colour'),3,X)",bonan's rule,0
78,130,Mx3jNAmq0L,KXmzl5-eGL_6YNxDAAAH,Iota,one is blue,A blue cone must be present.,[['x1']],"Z.exists(lambda x1: Z.equal(x1,'blue','colour'),X)",bonan's rule,There must be a blue cone present.,[['x1']],"Z.exists(lambda x1: Z.equal(x1,'blue','colour'),X)",bonan's rule,0
79,131,Mx3jNAmq0L,KXmzl5-eGL_6YNxDAAAH,Omega,all are blue OR small,A small green cone must be present.,[['x1']],"Z.exists(lambda x1: Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x1,1,'size')),X)",bonan's rule,A small green cone must be present.,[['x1']],"Z.exists(lambda x1: Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x1,1,'size')),X)",bonan's rule,0
80,132,Mx3jNAmq0L,KXmzl5-eGL_6YNxDAAAH,Kappa,at least one is blue AND small,At least one small blue triangle must be present.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),1,X)",bonan's rule,There must be at least two objects and one of them needs to be a blue triangle.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.atleast(lambda x2: Z.equal(x1,'blue','colour'),2,X),X)",bonan's rule,0
81,133,Mx3jNAmq0L,KXmzl5-eGL_6YNxDAAAH,Zeta,there is a red,There must be at least one red triangle present.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),1,X)",bonan's rule,At least one red cone must be present.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),1,X)",bonan's rule,1
82,134,Mx3jNAmq0L,KXmzl5-eGL_6YNxDAAAH,Upsilon,none are upright,None of the cones can point upward. ,[['x1']],"Z.forall(lambda x1: Z.not_operator(Z.equal(x1,'upright','orientation')),X)",bonan's rule,There cannot be any cones facing upward.,[['x1']],"Z.forall(lambda x1: Z.not_operator(Z.equal(x1,'upright','orientation')),X)",bonan's rule,0
83,136,Mx3jNAmq0L,t87OKoupac3tspxNAAAG,Omega,all are blue OR small,The largest triangle present is a medium blue triangle.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.forall(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,2,'size')),Z.equal(x2,1,'size')),X),X)",bonan's rule,The largest triangle is a medium blue triangle.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.forall(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,2,'size')),Z.equal(x2,1,'size')),X),X)",bonan's rule,0
84,137,Mx3jNAmq0L,t87OKoupac3tspxNAAAG,Kappa,at least one is blue AND small,A blue triangle must be present,[['x1']],"Z.exists(lambda x1: Z.equal(x1,'blue','colour'),X)",bonan's rule,There must be at least 1 blue triangle.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'blue','colour'),1,X)",bonan's rule,0
85,139,Mx3jNAmq0L,t87OKoupac3tspxNAAAG,Upsilon,none are upright,None of the triangles can be upright,[['x1']],"Z.forall(lambda x1: Z.not_operator(Z.equal(x1,'upright','orientation')),X)",bonan's rule,None of the triangles can be upright.,[['x1']],"Z.forall(lambda x1: Z.not_operator(Z.equal(x1,'upright','orientation')),X)",bonan's rule,0
86,141,VE7jVmxDRi,VGhYt_ONT__ElPblAAAK,Iota,one is blue,There must be atleast one blue.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'blue','colour'),1,X)",bonan's rule,There must be atleast one blue.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'blue','colour'),1,X)",bonan's rule,0
87,144,VE7jVmxDRi,VGhYt_ONT__ElPblAAAK,Zeta,there is a red,There must be atleast one red.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),1,X)",bonan's rule,There must be atleast on red or one blue,[['x1']],"Z.atleast(lambda x1: Z.or_operator(Z.equal(x1,'red','colour'),Z.equal(x1,'blue','colour')),1,X)",bonan's rule,0
88,145,VE7jVmxDRi,gWdvOGkG70-6oIcKAAAJ,Omega,all are blue OR small,"As long as there is either a green or blue cone in any size, without a red cone present, radiation is emitted. Cones that touch do not seem to effect the way the radiation is emitted. ","[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.forall(lambda x2: Z.and_operator(Z.or_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,'green','colour')),Z.not_operator(Z.equal(x2,'red','colour'))),X),X)",bonan's rule,"As long as there is either a small sized green or blue  cone of any size, without a red cone present, radiation is emitted. Cones that touch do not seem to effect the way the radiation is emitted. ","[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.forall(lambda x2: Z.and_operator(Z.or_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,'green','colour')),Z.not_operator(Z.equal(x2,'red','colour'))),X),X)",bonan's rule,0
89,146,VE7jVmxDRi,gWdvOGkG70-6oIcKAAAJ,Iota,one is blue,"I believe that the presence of any sized blue cone, in any position, will lead to the release of Iota radiation. An individual small green cone and an individual  medium sized red cone were confirmed not to emit any Iota radiation by themselves.",[['x1']],"Z.exists(lambda x1: Z.equal(x1,'blue','colour'),X)",bonan's rule,"I believe that the presence of any sized blue cone, in any position, will lead to the release of Iota radiation. An individual small green cone and an individual medium sized red cone were confirmed not to emit any Iota radiation by themselves.",[['x1']],"Z.exists(lambda x1: Z.equal(x1,'blue','colour'),X)",bonan's rule,0
90,147,VE7jVmxDRi,gWdvOGkG70-6oIcKAAAJ,Kappa,at least one is blue AND small,"If there is at least one small blue cone present in a scene, kappa radiation is emitted.",[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),1,X)",bonan's rule,"If there is at least one small blue cone present in a scene, regardless of its orientation, kappa radiation is emitted.",[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),1,X)",bonan's rule,0
91,155,ERkThrbRcj,IdLU8lt87w--tMi-AAAN,Iota,one is blue,"If a blue cone exists, Iota waves are emitted. ",[['x1']],"Z.exists(lambda x1: Z.equal(x1,'blue','colour'),X)",bonan's rule,"If there is a blue cone, Iota waves will be emitted. ",[['x1']],"Z.exists(lambda x1: Z.equal(x1,'blue','colour'),X)",bonan's rule,0
92,156,ERkThrbRcj,IdLU8lt87w--tMi-AAAN,Zeta,there is a red,"If there is a red cone, (Zeta?) radiation is emitted. ",[['x1']],"Z.exists(lambda x1: Z.equal(x1,'red','colour'),X)",bonan's rule,"If there is a red cone, Zeta radiation is emitted. ",[['x1']],"Z.exists(lambda x1: Z.equal(x1,'red','colour'),X)",bonan's rule,0
93,157,ERkThrbRcj,IdLU8lt87w--tMi-AAAN,Upsilon,none are upright,"If two red cones are falling over, Upsilon waves are emitted.",[['x1']],"Z.exactly(lambda x1: Z.and_operator(Z.equal(x1,'red','colour'),Z.not_operator(Z.equal(x1,'upright','orientation'))),2,X)",bonan's rule,"If there are at least two leaning red cones, Upsilon waves are produced.",[['x1']],"Z.exactly(lambda x1: Z.and_operator(Z.equal(x1,'red','colour'),Z.not_operator(Z.equal(x1,'upright','orientation'))),2,X)",bonan's rule,0
94,158,ERkThrbRcj,IdLU8lt87w--tMi-AAAN,Kappa,at least one is blue AND small,"If there is at least one small blue cone, Kappa waves will be radiated.",[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),1,X)",bonan's rule,"If there is at least one small blue cone, Kappa waves will be radiated.",[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),1,X)",bonan's rule,1
95,159,ERkThrbRcj,IdLU8lt87w--tMi-AAAN,Omega,all are blue OR small,There must be at least two of either small red cones or small green cones or a mixture. ,[['x1']],"Z.atleast(lambda x1: Z.or_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x1,1,'size')),Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x1,1,'size'))),2,X)",bonan's rule,There must be at least 2 of either small red cones or small green cones or a mixture.,[['x1']],"Z.atleast(lambda x1: Z.or_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x1,1,'size')),Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x1,1,'size'))),2,X)",bonan's rule,0
96,161,Jwm0HkYACp,Q7cj7QfSvrVQp4zyAAAP,Zeta,there is a red,There is a red cone laying to its side,[['x1']],"Z.exists(lambda x1: Z.and_operator(Z.equal(x1,'red','colour'),Z.or_operator(Z.equal(x1,'lhs','orientation'),Z.equal(x1,'rhs','orientation'))),X)",bonan's rule,There should be a red cone laying on it's side.,[['x1']],"Z.exists(lambda x1: Z.and_operator(Z.equal(x1,'red','colour'),Z.or_operator(Z.equal(x1,'lhs','orientation'),Z.equal(x1,'rhs','orientation'))),X)",bonan's rule,0
97,165,Jwm0HkYACp,rBqhQ3jC_fSvn8dPAAAQ,Upsilon,none are upright,There must be at least one small triangle facing left.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,1,'size'),Z.equal(x1,'lhs','orientation')),1,X)",bonan's rule,There must be one small triangle facing left and no triangles on top of eachother.,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.forall(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,1,'size'),Z.equal(x1,'lhs','orientation')),Z.not_operator(Z.hor_operator(x1,x2,'contact'))),X),1,X)",bonan's rule,0
98,166,Jwm0HkYACp,rBqhQ3jC_fSvn8dPAAAQ,Zeta,there is a red,There must be at least one small red triangle facing left.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x1,1,'size')),Z.equal(x1,'lhs','orientation')),1,X)",bonan's rule,There must be at least one small red triangle facing left.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x1,1,'size')),Z.equal(x1,'lhs','orientation')),1,X)",bonan's rule,0
99,168,Jwm0HkYACp,rBqhQ3jC_fSvn8dPAAAQ,Iota,one is blue,Must contain at least one blue triangle of any size facing any direction.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'blue','colour'),1,X)",bonan's rule,"Since the other player had not choices, there are no changes from my first thought.",[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'blue','colour'),1,X)",bonan's rule,0
100,169,Jwm0HkYACp,rBqhQ3jC_fSvn8dPAAAQ,Kappa,at least one is blue AND small,There must be at least one small blue triangle facing any direction.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),1,X)",bonan's rule,Same answer as before. There must be at least one small blue triangle facing any direction.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),1,X)",bonan's rule,0
101,170,uYIREe2i4Q,doNd8T8QMhErhgp5AAAL,Iota,one is blue,Iota waves are cause by the presence of JUST a single purple cone of any size.,[['x1']],"Z.exactly(lambda x1: Z.equal(x1,'blue','colour'),1, X)",bonan's rule,The presences of only a single purple cone cause Iota waves irregardless of other colored cones presence or not.,[['x1']],"Z.exactly(lambda x1: Z.equal(x1,'blue','colour'),1, X)",bonan's rule,0
102,172,uYIREe2i4Q,doNd8T8QMhErhgp5AAAL,Omega,all are blue OR small,The presence of a small green cone creates the radiation.,[['x1']],"Z.exists(lambda x1: Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x1,1,'size')),X)",bonan's rule,The presence of a small green cone with limited other cones creates the radiation.,[['x1']],"Z.exists(lambda x1: Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x1,1,'size')),X)",bonan's rule,0
103,173,uYIREe2i4Q,doNd8T8QMhErhgp5AAAL,Upsilon,none are upright,Two large red cones and a small purple cone facing a different direction than them create the radiation.,"[['x1'],['x1','x2']]","Z.exactly(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x1,3,'size')),Z.and_operator(Z.and_operator(Z.equal(x2,'blue','colour'),Z.equal(x2,1,'size')),Z.not_operator(Z.equal(x1,x2,'orientation')))),X),2,X)",bonan's rule,Two large red cones and a small purple cone facing a different direction than them create the radiation.,"[['x1'],['x1','x2']]","Z.exactly(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x1,3,'size')),Z.and_operator(Z.and_operator(Z.equal(x2,'blue','colour'),Z.equal(x2,1,'size')),Z.not_operator(Z.equal(x1,x2,'orientation')))),X),2,X)",bonan's rule,0
104,174,uYIREe2i4Q,doNd8T8QMhErhgp5AAAL,Zeta,there is a red,I was under the impression that two cones on top of one another as long as one was red was the rule to get the radiation based on my experiments but after looking at the examples I believe it may just be that the requirement is one upright red cone.,[['x1']],"Z.exists(lambda x1: Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x1,'upright','orientation')),X)",bonan's rule,I believe a red cone merely needs to be present for the radiation to occur.,[['x1']],"Z.exists(lambda x1: Z.equal(x1,'red','colour'),X)",bonan's rule,0
105,175,uYIREe2i4Q,UQIJo156uDVLjDEFAAAK,Iota,one is blue,"There must be at least one shape of each color. It doesn't matter shape, size, or direction.","[['x1'],['x1','x2'],['x1','x2','x3']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.exists(lambda x3: Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x2,'blue','colour')),Z.equal(x3,'green','colour')),X),X),X)",bonan's rule,There is exactly one blue shape in each photo.,[['x1']],"Z.exactly(lambda x1: Z.equal(x1,'blue','colour'),1,X)",bonan's rule,0
